    T[sec] Fp2 Fp1  F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6
0.845 31 17.98 4.971 35.97 1.988 37.96 14.91 51.97 -1.085 29.91 -14.01 14.91 0 31.99 -19.07 22.96
0.85 28.92 20.97 8.947 33.98 1.988 31.99 5.965 43.92 0 20.97 -12.02 2.982 -8.043 32.99 -16.09 17.98
0.855 14.91 19.97 4.971 26.93 1.988 23.95 1.988 37.96 -13.01 9.941 -12.02 -1.085 -9.038 29.91 -9.038 11.93
0.86 2.982 6.959 -4.067 13.92 -15 11.93 -15 21.96 -26.03 1.988 -18.08 -4.067 -16.09 18.98 -8.043 3.977
0.865 -19.07 -5.061 -24.04 -3.073 -36.06 -1.085 -30 3.977 -36.06 -11.03 -28.02 -6.055 -22.05 1.988 -21.06 -6.055
0.87 -35.07 -23.05 -41.03 -27.02 -53.05 -19.07 -43.02 -5.061 -35.07 -25.03 -39.04 -11.03 -27.02 -13.01 -37.05 -23.05
0.875 -39.04 -30 -49.07 -37.05 -63.08 -31.09 -40.04 -15 -19.07 -26.03 -40.04 -11.03 -23.05 -30 -49.07 -37.05
0.88 -37.05 -32.08 -52.06 -42.02 -59.02 -35.07 -30 -21.06 -4.067 -22.05 -36.06 -14.01 -20.06 -38.05 -39.04 -45.01
0.885 -33.08 -29.01 -55.04 -41.03 -47.09 -33.08 -21.06 -27.02 0 -17.08 -29.01 -13.01 -19.07 -39.04 -23.05 -43.02
0.89 -31.09 -27.02 -57.03 -36.06 -37.05 -31.09 -18.08 -28.02 1.988 -17.08 -24.04 -10.03 -20.06 -26.03 -2.079 -31.09
0.895 -27.02 -25.03 -57.03 -34.07 -34.07 -33.08 -28.02 -30 -14.01 -19.07 -18.08 -6.055 -22.05 -17.08 0.9941 -19.07
