    T[sec] Fp1 Fp2 F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6  Fz  Cz  Pz 
1.29 498.3 -655.1 166.1 -879.8 371.3 -1309 312.7 -1163 683.9 -1133 576.5 -996.6 19.54 -605.8 683.9 -1016 302.9 -1075 342
1.295 801.2 -830.5 156.3 -1036 351.7 -1280 508.1 -1075 918.4 -996.6 586.2 -938 -58.62 -801.2 1270 -732.8 214.9 -1143 488.5
1.3 810.9 -938 -78.16 -1221 78.16 -1406 263.8 -1192 752.3 -1114 146.6 -1329 175.9 -1016 742.6 -801.2 -97.7 -1172 283.3
1.305 723 -889.1 -214.9 -1143 -19.54 -1270 127 -1153 713.2 -1045 -205.2 -1036 48.85 -1036 508.1 -723 -234.5 -1143 146.6
1.31 654.6 -693.7 -244.3 -1036 0 -1075 78.16 -1104 508.1 -908.6 -263.8 -1025 -263.8 -957.5 390.8 -752.3 -234.5 -869.6 -9.77
1.315 351.7 -703.5 -117.2 -898.9 48.85 -879.8 19.54 -1124 254 -1114 -273.6 -635.6 -166.1 -810.9 117.2 -762.1 -146.6 -655.1 -185.6
1.32 -29.31 -459.2 -48.85 -655.1 166.1 -655.1 39.08 -869.6 166.1 -967.8 -459.2 -664.4 -429.9 -488.5 48.85 -576.5 -68.39 -283.3 -234.5
1.325 -107.5 -655.1 -166.1 -547.6 -48.85 -556.9 -146.6 -791.4 -78.16 -1153 -596 -478.7 -517.8 -683.9 -166.1 -508.1 -136.8 -214.9 -459.2
1.33 -78.16 -469 156.3 -371.3 58.62 -371.3 68.39 -449.4 107.5 -898.9 -410.4 -234.5 -146.6 -293.1 0 -263.8 136.8 -107.5 -127
1.335 39.08 -664.4 -39.08 -635.6 -78.16 -674.6 19.54 -527.6 9.77 -1055 -498.3 -381 -977.5 -752.3 185.6 -420.1 -48.85 -342 -175.9
1.34 -9.77 -322.4 -146.6 -566.7 -263.8 -556.9 -29.31 -361.5 -58.62 -879.8 -459.2 -58.62 -273.6 -429.9 68.39 -214.9 -156.3 -205.2 -175.9
1.345 351.7 -234.5 68.39 -576.5 -19.54 -429.9 312.7 -234.5 263.8 -615.5 -556.9 263.8 -723 -332.2 928.2 -29.31 39.08 -185.6 78.16
1.35 517.8 -342 -127 -879.8 -410.4 -625.3 39.08 -478.7 48.85 -713.2 -459.2 -244.3 -410.4 -683.9 87.93 -205.2 -254 -439.7 -156.3
1.355 312.7 -195.4 -107.5 -820.7 -273.6 -439.7 195.4 -351.7 234.5 -527.6 -478.7 156.3 68.39 -361.5 517.8 -19.54 -244.3 -312.7 -78.16
1.36 117.2 -351.7 -156.3 -918.4 -381 -547.6 48.85 -390.8 146.6 -586.2 -283.3 -322.4 293.1 -625.3 185.6 -97.7 -342 -293.1 -185.6
1.365 146.6 -351.7 68.39 -781.6 -87.93 -498.3 322.4 -322.4 390.8 -556.9 136.8 29.31 683.9 -342 439.7 19.54 -87.93 -214.9 -39.08
1.37 39.08 -410.4 19.54 -693.7 -214.9 -537.4 97.7 -342 214.9 -840.3 -263.8 68.39 -58.62 -361.5 -9.77 19.54 -19.54 -234.5 -244.3
1.375 205.2 -146.6 517.8 -429.9 185.6 -302.9 410.4 -97.7 381 -566.7 205.2 322.4 879.3 -48.85 234.5 195.4 420.1 -48.85 48.85
1.38 332.2 -293.1 381 -488.5 -39.08 -400.6 175.9 -234.5 9.77 -987.3 0 97.7 527.6 -322.4 -68.39 39.08 332.2 -107.5 -234.5
1.385 58.62 -312.7 19.54 -390.8 -381 -293.1 -185.6 -244.3 -400.6 -928.2 -371.3 136.8 293.1 -273.6 -234.5 0 48.85 -87.93 -488.5
