    T[sec] F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  P4  T6  O1  O2 
0.5 1.258 1.618 4.944 5.978 1.393 2.921 6.112 6.831 7.609 6.022 6.878 6.191 -0.2697 8.449 7.281
0.505 2.517 1.258 7.73 7.506 0.1348 1.933 7.056 7.146 6.921 3.326 2.751 4.385 -1.798 3.865 4.584
0.51 4.045 1.079 7.73 7.371 0.04494 1.393 5.034 4.944 5.503 0.08989 -1.032 2.064 -2.337 -0.9888 2.067
0.515 5.753 2.112 5.573 6.067 1.438 2.157 1.798 1.978 4.213 -1.888 -2.493 0.4299 -1.888 -3.326 1.169
0.52 6.831 4.315 3.73 4.989 3.551 4.045 0.4045 0.809 4.041 -1.618 -1.118 0.2579 -0.2697 -2.067 2.157
0.525 6.921 6.202 3.64 4.584 4.899 5.843 1.843 2.247 4.944 0.3596 1.548 0.9458 1.798 1.258 3.596
0.53 5.843 6.022 4.36 3.955 4.404 5.933 4.225 4.36 5.804 1.978 3.095 1.032 3.596 3.685 3.955
0.535 3.685 3.146 4 2.202 1.618 3.326 4.674 4.854 5.503 1.708 1.72 0.08598 4.944 3.416 2.966
0.54 0.8989 -0.9438 1.753 -0.4944 -2.517 -1.213 1.753 2.697 3.869 -0.6292 -1.978 -1.634 5.753 0.9888 1.258
0.545 -1.438 -3.955 -1.888 -3.461 -6.247 -5.618 -3.82 -1.438 1.333 -3.416 -5.847 -3.611 5.573 -1.348 -0.7191
0.55 -2.607 -4.674 -5.528 -5.798 -7.91 -7.775 -10.07 -6.067 -1.29 -4.674 -7.566 -5.331 4.674 -1.528 -2.607
0.555 -2.247 -3.775 -7.73 -6.876 -7.191 -7.326 -14.47 -9.213 -3.095 -3.685 -6.191 -5.761 3.596 0.5393 -3.416
0.56 -1.348 -3.191 -7.91 -6.562 -5.258 -5.483 -15.73 -9.753 -3.568 -0.8989 -2.923 -4.557 3.236 3.506 -2.697
0.565 -0.7191 -4.18 -6.876 -5.483 -3.146 -3.596 -14.16 -8.135 -3.138 1.888 0.5159 -1.978 3.506 4.944 -0.6292
0.57 -0.6292 -6.067 -5.303 -4.36 -1.124 -2.112 -10.25 -4.989 -2.321 3.596 3.009 1.376 3.955 4.494 2.247
0.575 -0.08989 -6.607 -2.652 -2.921 0.9438 -0.5393 -3.596 0 -0.8598 4.225 4.471 5.589 4.584 2.966 6.112
0.58 1.348 -4.045 2.292 -0.4944 3.326 1.618 5.708 6.966 1.634 4.225 5.417 9.888 5.393 1.798 9.978
0.585 3.955 1.258 8.899 2.742 5.888 4.18 14.83 13.71 4.6 3.865 5.847 12.21 5.483 0.8989 11.6
0.59 7.101 7.011 14.11 5.573 7.91 6.157 19.24 16.67 6.448 2.966 5.503 10.75 3.865 -0.2697 9.079
0.595 9.169 10.61 15.01 6.742 8.449 6.652 16.45 14.25 6.234 1.348 4.213 5.675 0.5393 -2.247 3.416
0.6 8.989 10.88 11.28 6.112 7.281 5.483 8.539 8.225 4.342 -0.1798 2.493 0 -3.326 -4.225 -2.607
0.605 6.742 8.449 5.124 4.18 5.169 3.685 0.4045 2.382 1.935 -1.169 1.376 -3.525 -6.292 -5.393 -6.292
0.61 3.775 4.989 -0.04494 1.843 3.281 2.247 -3.416 -0.2697 0.129 -1.438 1.118 -3.697 -7.461 -5.483 -6.742
0.615 1.348 1.843 -1.798 0.2247 2.067 1.618 -1.708 0.9438 -0.3439 -1.528 1.29 -1.29 -6.921 -4.944 -4.764
0.62 -0.08989 -0.1798 0.08989 0.1348 1.303 1.438 2.831 4.135 0.172 -2.067 1.118 1.032 -5.483 -4.494 -2.697
0.625 -0.809 -1.079 3.146 1.213 0.764 1.483 5.438 5.708 0.6448 -2.876 0.08598 0.6878 -4.854 -4.135 -2.876
0.63 -0.9888 -1.258 3.955 2.067 0.4494 1.483 3.011 3.551 0 -3.056 -1.118 -2.321 -5.483 -2.966 -5.124
0.635 -1.348 -1.303 1.258 1.438 0 0.8539 -3.011 -1.079 -1.591 -1.978 -2.149 -5.245 -5.933 -0.2697 -6.652
0.64 -2.517 -2.247 -3.64 -0.6292 -1.438 -1.213 -8.899 -5.079 -2.966 0.08989 -2.665 -5.417 -4.584 3.506 -5.213
0.645 -4.854 -4.809 -8.719 -3.82 -4.09 -5.034 -11.96 -6.742 -3.611 1.978 -3.353 -2.665 -1.258 6.472 -1.618
0.65 -7.64 -8.809 -12.76 -7.191 -7.416 -9.618 -12.49 -6.742 -3.783 2.427 -4.643 0.4299 2.427 7.011 1.258
