    T[sec] Fp2 Fp1  F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6
0.765 -23 -9.031 -9.031 9.941 27.94 7.992 11.96 13.97 -5.003 9.941 -27.03 -2.014 0 0 -15.01 9.941
0.77 -29.04 -17.02 -15.01 3.963 33.98 11.96 19.95 15.98 -2.014 3.963 -19.04 -2.014 5.978 0 -7.017 5.978
0.775 -25.01 -17.02 -19.04 0 19.95 12.99 19.95 9.941 1.949 -2.014 -15.01 -2.014 7.992 0.9746 -1.04 -2.014
0.78 -11.05 -13.06 -15.01 0.9746 -2.014 -2.014 9.941 1.949 1.949 -1.04 -11.05 0.9746 7.992 -5.003 -2.014 -5.003
0.785 2.989 -5.003 -6.043 -2.014 -16.05 -6.043 0.9746 -3.054 -2.014 -2.014 -7.017 -3.054 7.992 -11.05 0 -9.031
0.79 14.94 0.9746 2.989 8.966 -19.04 -14.03 -7.017 -4.028 0.9746 0 -4.028 -3.054 7.992 -11.05 1.949 -5.003
0.795 20.99 -2.014 9.941 18 -13.06 -11.05 -9.031 -1.04 -1.04 -2.014 -3.054 0.9746 5.978 -1.04 0 0
0.8 16.96 0.9746 14.94 26.96 2.989 1.949 0.9746 6.952 -2.014 2.989 -2.014 7.992 3.963 7.992 1.949 7.992
0.805 6.952 0.9746 12.99 30.99 25.99 15.98 9.941 22.94 5.978 8.966 0 18 6.952 23.98 1.949 11.96
0.81 -1.04 -2.014 9.941 31.97 45.94 27.94 23.98 31.97 15.98 7.992 -2.014 27.94 9.941 33.98 0.9746 11.96
0.815 2.989 0.9746 15.98 32.94 57.96 36 33.98 38.98 23.98 9.941 6.952 31.97 20.99 36.97 2.989 11.96
0.82 2.989 4.938 27.94 34.96 65.95 41 39.96 38.98 29.95 5.978 21.96 33.98 32.94 34.96 12.99 13.97
0.825 8.966 7.992 41.97 41.97 61.98 43.99 41.97 33.98 31.97 1.949 31.97 36 39.96 33.98 19.95 15.98
0.83 14.94 6.952 52.95 45.94 60.94 45.94 42.95 29.95 27.94 0.9746 41.97 37.94 41 30.99 27.94 16.96
0.835 16.96 2.989 45.94 44.96 44.96 46.98 36.97 26.96 28.98 -2.014 42.95 33.98 36 22.94 21.96 8.966
0.84 14.94 -2.014 23.98 31.97 23.98 39.96 27.94 19.95 25.99 -2.014 29.95 25.99 19.95 11.96 15.98 0
0.845 8.966 0.9746 0.9746 15.98 1.949 24.95 21.96 15.98 26.96 0.9746 13.97 15.98 9.941 -1.04 2.989 0.9746
0.85 -1.04 -1.04 -12.02 1.949 -2.014 7.992 14.94 11.96 25.99 4.938 1.949 8.966 -1.04 -7.017 -7.017 -1.04
0.855 -7.017 1.949 -19.04 -3.054 0.9746 -2.014 15.98 11.96 24.95 12.99 -13.06 6.952 -2.014 -4.028 -17.02 -2.014
0.86 -23 -1.04 -18.06 -4.028 6.952 3.963 20.99 19.95 21.96 20.99 -20.01 4.938 -4.028 0 -19.04 9.941
0.865 -35.02 -5.003 -16.05 -1.04 19.95 10.98 27.94 23.98 20.99 24.95 -21.05 0 -3.054 6.952 -16.05 13.97
0.87 -41.06 -21.05 -21.05 -5.003 27.94 11.96 27.94 18 18 18 -19.04 -3.054 -3.054 3.963 -9.031 11.96
0.875 -41.06 -32.03 -33.01 -14.03 20.99 1.949 20.99 4.938 16.96 7.992 -12.02 -15.01 -1.04 -4.028 -2.014 4.938
0.88 -39.05 -42.04 -44.05 -27.03 2.989 -27.03 8.966 -13.06 18 1.949 -11.05 -25.01 -4.028 -22.03 9.941 -2.014
0.885 -35.02 -43.01 -47.04 -33.01 -15.01 -57.05 -3.054 -33.01 18 -11.05 -7.017 -27.03 -5.003 -35.02 9.941 -15.01
0.89 -27.03 -36.06 -37.03 -28 -29.04 -70.04 -17.02 -44.05 19.95 -11.05 -5.003 -21.05 -4.028 -40.02 12.99 -19.04
0.895 -31.06 -28 -27.03 -18.06 -39.05 -67.05 -25.01 -44.05 19.95 -7.017 -6.043 -17.02 -4.028 -32.03 6.952 -21.05
0.9 -35.02 -23 -21.05 -15.01 -39.05 -45.03 -27.03 -37.03 18 -3.054 -7.017 -15.01 -1.04 -25.01 1.949 -19.04
0.905 -37.03 -17.02 -16.05 -8.057 -29.04 -19.04 -25.01 -24.04 13.97 -1.04 -2.014 -15.01 -1.04 -15.01 0.9746 -11.05
0.91 -33.01 -7.017 -8.057 1.949 -16.05 -2.014 -17.02 -12.02 7.992 0.9746 -1.04 -7.017 1.949 -3.054 -1.04 -1.04
0.915 -19.04 0 -2.014 11.96 0.9746 5.978 -11.05 -3.054 5.978 3.963 7.992 3.963 5.978 3.963 -2.014 3.963
0.92 2.989 13.97 18.97 32.94 13.97 14.94 0.9746 1.949 7.992 4.938 20.99 23.98 5.978 13.97 0 11.96
0.925 16.96 19.95 38.98 49.96 24.95 20.99 5.978 0 11.96 8.966 29.95 36 3.963 21.96 0 15.98
